customer,category,date,amount
CUST_0129,Gifts,2023-07-28,131.12
CUST_0129,Housing and Utilities,2023-01-11,24.11
CUST_0129,Shopping,2024-11-12,199.12
CUST_0129,Housing and Utilities,2023-11-09,86.62
CUST_0129,Housing and Utilities,2023-09-28,33.62
CUST_0129,Friend Activities,2024-03-13,10.43
CUST_0129,Medical/Dental,2024-12-30,373.6
CUST_0129,Subscriptions,2024-08-06,15.63
CUST_0129,Transportation,2023-02-16,80.89
CUST_0129,Groceries,2023-02-04,8.8
CUST_0129,Gifts,2023-10-14,300.87
CUST_0129,Personal Hygiene,2024-08-04,18.43
CUST_0129,Hobbies,2023-06-05,75.23
CUST_0129,Gifts,2024-04-30,379.35
CUST_0129,Gifts,2023-12-09,107.54
CUST_0129,Personal Hygiene,2023-10-15,32.39
CUST_0129,Personal Hygiene,2024-02-10,7.93
CUST_0129,Fitness,2024-11-21,630.56
CUST_0129,Personal Hygiene,2023-12-10,2.54
CUST_0129,Shopping,2023-08-30,2431.59
CUST_0129,Medical/Dental,2023-11-09,166.79
CUST_0129,Medical/Dental,2024-02-25,289.16
CUST_0129,Housing and Utilities,2023-12-16,2520.97
CUST_0129,Shopping,2023-04-12,4394.54
CUST_0129,Fitness,2023-07-02,162.87
CUST_0129,Shopping,2024-10-30,137850.83
CUST_0129,Gifts,2023-10-24,42.49
CUST_0129,Hobbies,2024-03-17,20.3
CUST_0129,Transportation,2024-05-08,66.54
CUST_0129,Fitness,2023-08-30,792.47
CUST_0129,Gifts,2024-02-10,477.9
CUST_0129,Hobbies,2024-04-10,52.78
CUST_0129,Medical/Dental,2023-08-30,942.02
CUST_0129,Medical/Dental,2024-08-17,290.64
CUST_0129,Shopping,2024-08-15,116051.83
CUST_0129,Personal Hygiene,2023-12-06,4.98
CUST_0129,Transportation,2024-09-25,420.13
CUST_0129,Groceries,2023-12-10,9.78
CUST_0129,Housing and Utilities,2023-10-30,166.92
CUST_0129,Gifts,2025-01-09,464.17
CUST_0129,Groceries,2023-09-29,14.03
CUST_0129,Housing and Utilities,2024-10-01,1889.53
CUST_0129,Shopping,2023-06-17,173.61
CUST_0129,Friend Activities,2023-10-09,367.01
CUST_0129,Transportation,2024-03-12,85.2
CUST_0129,Shopping,2024-07-27,317.94
CUST_0129,Gifts,2025-01-01,418.8
CUST_0129,Food,2024-11-04,360.38
CUST_0129,Housing and Utilities,2024-01-17,59.52
CUST_0129,Gifts,2023-08-13,220.54
CUST_0129,Friend Activities,2024-12-05,264.71
CUST_0129,Subscriptions,2023-01-24,44.84
CUST_0129,Travel,2023-04-17,44.1
