customer,category,date,amount
CUST_0162,Fitness,2024-01-28,56.18
CUST_0162,Gifts,2024-04-03,197.74
CUST_0162,Subscriptions,2023-01-11,10.62
CUST_0162,Groceries,2024-03-24,1.5
CUST_0162,Groceries,2024-03-02,17.87
CUST_0162,Shopping,2024-08-22,15343.64
CUST_0162,Subscriptions,2023-09-15,30.47
CUST_0162,Hobbies,2023-12-22,38.89
CUST_0162,Fitness,2024-05-02,83.25
CUST_0162,Food,2023-09-30,321.43
CUST_0162,Groceries,2023-09-09,5.27
CUST_0162,Medical/Dental,2023-04-17,61.11
CUST_0162,Gifts,2023-08-19,254.3
CUST_0162,Fitness,2023-05-04,34.82
CUST_0162,Food,2024-09-13,83.78
CUST_0162,Transportation,2023-12-05,9.11
CUST_0162,Housing and Utilities,2024-01-02,158.81
CUST_0162,Gifts,2023-07-04,42.95
CUST_0162,Personal Hygiene,2024-09-16,8.44
CUST_0162,Shopping,2024-06-28,369.54
CUST_0162,Personal Hygiene,2024-10-25,1486.33
CUST_0162,Gifts,2025-01-10,64.44
CUST_0162,Personal Hygiene,2024-12-24,2135.28
CUST_0162,Shopping,2024-03-13,1371.15
CUST_0162,Personal Hygiene,2023-12-24,10.9
CUST_0162,Hobbies,2024-08-11,142.67
CUST_0162,Gifts,2023-02-02,74.04
CUST_0162,Groceries,2023-03-21,71.74
CUST_0162,Groceries,2024-03-29,28.83
CUST_0162,Gifts,2024-07-02,111.67
CUST_0162,Housing and Utilities,2023-06-15,60.48
CUST_0162,Hobbies,2023-08-24,247.82
CUST_0162,Hobbies,2024-03-19,120.2
CUST_0162,Transportation,2023-08-21,38.07
CUST_0162,Food,2024-08-26,287.19
CUST_0162,Travel,2024-03-19,21.02
CUST_0162,Groceries,2024-02-09,8.18
CUST_0162,Transportation,2023-05-09,47.73
CUST_0162,Groceries,2023-09-26,5.47
CUST_0162,Shopping,2023-12-02,3795.8
CUST_0162,Personal Hygiene,2024-03-17,10.75
CUST_0162,Food,2024-10-07,3.26
CUST_0162,Medical/Dental,2024-08-16,167.01
CUST_0162,Gifts,2023-01-24,783.44
CUST_0162,Subscriptions,2023-09-10,8.61
CUST_0162,Medical/Dental,2024-11-09,685.41
CUST_0162,Fitness,2023-12-23,62.0
CUST_0162,Shopping,2023-04-05,72561.91
CUST_0162,Housing and Utilities,2023-07-04,38.41
CUST_0162,Groceries,2023-07-06,7.33
CUST_0162,Hobbies,2024-01-17,397.87
CUST_0162,Hobbies,2024-11-09,26.16
CUST_0162,Groceries,2024-12-20,77.78
CUST_0162,Medical/Dental,2024-10-02,348.07
CUST_0162,Travel,2024-12-08,639.19
CUST_0162,Hobbies,2023-03-11,68.9
CUST_0162,Friend Activities,2023-05-06,184.01
CUST_0162,Food,2023-02-06,13.81
CUST_0162,Personal Hygiene,2024-07-13,38.68
CUST_0162,Food,2024-08-24,37.26
