customer,category,date,amount
CUST_0017,Friend Activities,2023-05-04,149.39
CUST_0017,Medical/Dental,2023-06-09,462.74
CUST_0017,Personal Hygiene,2024-05-13,30.43
CUST_0017,Transportation,2023-07-25,309.78
CUST_0017,Gifts,2023-04-24,220.17
CUST_0017,Personal Hygiene,2023-12-29,5.61
CUST_0017,Transportation,2023-12-08,5.46
CUST_0017,Housing and Utilities,2024-02-19,144.18
CUST_0017,Food,2023-11-17,5.7
CUST_0017,Groceries,2023-12-15,54.54
CUST_0017,Shopping,2024-07-10,247647.06
CUST_0017,Hobbies,2023-02-04,48.93
CUST_0017,Transportation,2023-12-31,4.89
CUST_0017,Medical/Dental,2024-07-17,270.81
CUST_0017,Housing and Utilities,2023-08-31,1461.1
CUST_0017,Groceries,2024-04-23,4.64
CUST_0017,Housing and Utilities,2023-05-26,61.37
CUST_0017,Fitness,2024-05-15,51.44
CUST_0017,Travel,2024-02-26,474.14
CUST_0017,Gifts,2023-08-28,882.47
CUST_0017,Gifts,2024-06-02,974.99
CUST_0017,Personal Hygiene,2024-05-11,2285.1
CUST_0017,Personal Hygiene,2024-12-21,11.54
CUST_0017,Travel,2023-05-16,674.83
CUST_0017,Food,2024-08-27,56.7
CUST_0017,Groceries,2023-04-02,15.05
CUST_0017,Gifts,2024-12-06,62.97
CUST_0017,Housing and Utilities,2024-12-11,20.46
CUST_0017,Gifts,2024-06-07,179.66
CUST_0017,Shopping,2024-09-01,414.12
CUST_0017,Subscriptions,2024-11-08,11.2
CUST_0017,Transportation,2024-12-22,86.43
CUST_0017,Food,2024-02-17,42.77
CUST_0017,Travel,2024-03-31,1145.96
CUST_0017,Fitness,2024-05-11,129.34
CUST_0017,Gifts,2023-01-25,25.63
CUST_0017,Subscriptions,2023-08-12,13.05
CUST_0017,Travel,2023-06-18,35.66
CUST_0017,Travel,2024-06-01,551.23
CUST_0017,Fitness,2024-10-26,82.86
CUST_0017,Groceries,2024-12-26,18.79
CUST_0017,Fitness,2023-02-26,853.8
CUST_0017,Medical/Dental,2023-10-12,525.88
CUST_0017,Travel,2023-07-06,189.87
CUST_0017,Groceries,2024-07-11,14.08
CUST_0017,Personal Hygiene,2024-10-01,19.09
CUST_0017,Food,2024-04-04,224.19
CUST_0017,Housing and Utilities,2023-02-24,157.57
CUST_0017,Groceries,2024-01-13,19.75
